,Date,Temperature
890,2015/06/10,32.0
891,2015/06/11,33.0
892,2015/06/12,32.0
893,2015/06/13,33.0
894,2015/06/14,33.0
895,2015/06/15,32.0
896,2015/06/16,32.0
897,2015/06/17,32.0
898,2015/06/18,33.0
899,2015/06/19,32.0
900,2015/06/20,31.0
901,2015/06/21,32.0
902,2015/06/22,33.0
903,2015/06/23,32.0
904,2015/06/24,33.0
905,2015/06/25,33.0
906,2015/06/26,33.0
907,2015/06/27,33.0
908,2015/06/28,33.0
909,2015/06/29,33.0
910,2015/06/30,33.0
911,2015/07/01,33.0
912,2015/07/02,33.0
913,2015/07/03,32.0
914,2015/07/04,33.0
915,2015/07/05,32.0
916,2015/07/06,33.0
917,2015/07/07,33.0
918,2015/07/08,31.0
919,2015/07/09,30.0
920,2015/07/10,30.0
921,2015/07/11,33.0
922,2015/07/12,32.0
923,2015/07/13,32.0
924,2015/07/14,31.0
925,2015/07/15,32.0
926,2015/07/16,32.0
927,2015/07/17,31.0
928,2015/07/18,33.0
929,2015/07/19,30.0
930,2015/07/20,32.0
931,2015/07/21,32.0
932,2015/07/22,32.0
933,2015/07/23,32.0
934,2015/07/24,32.0
935,2015/07/25,32.0
936,2015/07/26,32.0
937,2015/07/27,33.0
938,2015/07/28,32.0
939,2015/07/29,32.0
940,2015/07/30,31.0
941,2015/07/31,32.0
942,2015/08/01,32.0
943,2015/08/02,32.0
944,2015/08/03,32.0
945,2015/08/04,32.0
946,2015/08/05,32.0
947,2015/08/06,28.0
948,2015/08/07,27.0
949,2015/08/08,26.0
950,2015/08/09,31.0
951,2015/08/10,31.0
952,2015/08/11,32.0
953,2015/08/12,32.0
954,2015/08/13,32.0
955,2015/08/14,32.0
956,2015/08/15,32.0
957,2015/08/16,33.0
958,2015/08/17,32.0
959,2015/08/18,32.0
960,2015/08/19,32.0
961,2015/08/20,32.0
962,2015/08/21,28.0
963,2015/08/22,27.0
964,2015/08/23,33.0
965,2015/08/24,28.0
966,2015/08/25,30.0
967,2015/08/26,27.0
968,2015/08/27,28.0
969,2015/08/28,28.0
970,2015/08/29,28.0
971,2015/08/30,29.0
972,2015/08/31,31.0
973,2015/09/01,31.0
974,2015/09/02,31.0
975,2015/09/03,31.0
976,2015/09/04,31.0
977,2015/09/05,32.0
978,2015/09/06,24.0
979,2015/09/07,30.0
980,2015/09/08,29.0
981,2015/09/09,29.0
982,2015/09/10,29.0
983,2015/09/11,29.0
984,2015/09/12,30.0
985,2015/09/13,29.0
986,2015/09/14,31.0
987,2015/09/15,27.0
988,2015/09/16,29.0
989,2015/09/17,29.0
990,2015/09/18,28.0
991,2015/09/19,29.0
992,2015/09/20,29.0
993,2015/09/21,31.0
994,2015/09/22,32.0
995,2015/09/23,31.0
996,2015/09/24,28.0
997,2015/09/25,27.0
998,2015/09/26,29.0
999,2015/09/27,29.0
1000,2015/09/28,30.0
1001,2015/09/29,32.0
1002,2015/09/30,31.0
1003,2015/10/01,26.0
1004,2015/10/02,30.0
1005,2015/10/03,32.0
1006,2015/10/04,30.0
1007,2015/10/05,28.0
1008,2015/10/06,27.0
1009,2015/10/07,29.0
1010,2015/10/08,24.0
1011,2015/10/09,27.0
1012,2015/10/10,24.0
1013,2015/10/11,25.0
1014,2015/10/12,23.0
1015,2015/10/13,25.0
1016,2015/10/14,27.0
1017,2015/10/15,26.0
1018,2015/10/16,27.0
1019,2015/10/17,23.0
1020,2015/10/18,24.0
1021,2015/10/19,25.0
1022,2015/10/20,24.0
1023,2015/10/21,24.0
1024,2015/10/22,28.0
1025,2015/10/23,26.0
1026,2015/10/24,26.0
1027,2015/10/25,25.0
1028,2015/10/26,28.0
1029,2015/10/27,25.0
1030,2015/10/28,28.0
1031,2015/10/29,28.0
1032,2015/10/30,23.0
1033,2015/10/31,21.0
1034,2015/11/01,20.0
1035,2015/11/02,22.0
1036,2015/11/03,25.0
1037,2015/11/04,28.0
1038,2015/11/05,28.0
1039,2015/11/06,30.0
1040,2015/11/07,29.0
1041,2015/11/08,28.0
1042,2015/11/09,21.0
1043,2015/11/10,21.0
1044,2015/11/11,23.0
1045,2015/11/12,28.0
1046,2015/11/13,25.0
1047,2015/11/14,23.0
1048,2015/11/15,28.0
1049,2015/11/16,29.0
1050,2015/11/17,30.0
1051,2015/11/18,24.0
1052,2015/11/19,24.0
1053,2015/11/20,23.0
1054,2015/11/21,27.0
1055,2015/11/22,27.0
1056,2015/11/23,26.0
1057,2015/11/24,23.0
1058,2015/11/25,18.0
1059,2015/11/26,16.0
1060,2015/11/27,23.0
1061,2015/11/28,26.0
1062,2015/11/29,23.0
1063,2015/11/30,21.0
1064,2015/12/01,25.0
1065,2015/12/02,18.0
1066,2015/12/03,18.0
